pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
5568	There is no girl riding a horse	The girl is trotting on the horse	3.3	CONTRADICTION
5569	The girl is trotting on the horse	A girl is riding a horse	4.4	ENTAILMENT
5575	A man is breaking a slab of concrete with a sledge hammer	The woman is using a sledgehammer to break a concrete block that is on another man	2.7	NEUTRAL
5580	A dog is barking at a ball	There is no dog barking at a ball	3.8	CONTRADICTION
5582	A dog is swimming after a tennis ball	A cat is swimming after a tennis ball	4	NEUTRAL
5584	A dog is barking at a ball	A cat is swimming after a tennis ball	2.2	NEUTRAL
5586	There is no dog barking at a ball	A dog is swimming after a tennis ball	2.8	NEUTRAL
5587	A dog is swimming after a tennis ball	A dog is barking at a ball	3.1	NEUTRAL
5591	A woman is eating a cupcake	A woman is not eating a cupcake	3.7	CONTRADICTION
5593	A girl is eating a cupcake	A woman is not eating a cupcake	2.5	NEUTRAL
5595	A boy is eating a cupcake	A woman is eating a cupcake	3.8	NEUTRAL
5602	There is no man spitting	A man is speaking	2.115	NEUTRAL
5603	A man is talking	A man is spitting	2.285	NEUTRAL
5604	There is no man speaking	A man is spitting	2.2	NEUTRAL
5607	A man is playing keyboards	A man is not playing keyboards	3.85	CONTRADICTION
5608	A man is riding a rodeo bull	A man is riding a mechanical bull	3.9	NEUTRAL
5609	A man is falling off a mechanical bull	A man is riding a mechanical bull	4.1	NEUTRAL
5610	A man is playing keyboards	A man is riding a rodeo bull	1.3	NEUTRAL
5612	A man is riding a mechanical bull	A man is playing an instrument	1	NEUTRAL
5613	A man is not playing keyboards	A man is riding a mechanical bull	1.1	NEUTRAL
5614	A man is playing keyboards	A man is riding a mechanical bull	1.1	NEUTRAL
5615	A man is cutting a boot with a sword	A man is cutting a boot with a blade	4.7	ENTAILMENT
5617	A person is severing the toe of an empty leather boot with a sword	A man is severing the toe of an empty leather boot with a sword	4.815	ENTAILMENT
5618	A man is severing the toe of an empty leather boot with a sword	A woman is severing the toe of an empty leather boot with a sword	4	NEUTRAL
5619	A person is severing the toe of an empty leather boot with a sword	A man is cutting a boot with a sword	4	ENTAILMENT
5620	A woman is severing the toe of an empty leather boot with a sword	A man is cutting a boot with a sword	3.6	ENTAILMENT
5621	A man is severing the toe of an empty leather boot with a sword	A man is cutting a boot with a blade	4.2	ENTAILMENT
5623	A man is severing the toe of an empty leather boot with a sword	A man is cutting a boot with a sword	4.2	ENTAILMENT
5624	A chef is cleaning a bowl of soup	A bowl of soup is being cleaned by a chef	4.8	ENTAILMENT
5627	A man is wiping the edge of a bowl	There is no man wiping the edge of a bowl	3.4	CONTRADICTION
5632	A chef is cleaning a bowl of soup	A man is wiping the edge of a bowl	3.6	NEUTRAL
5633	The guitar is being played by a kid	A kid is playing the guitar	4.8	ENTAILMENT
5634	A kid is playing the piano	A kid is playing the guitar	3	NEUTRAL
5637	A kid is singing and playing a guitar	A kid is playing the guitar	4.2	ENTAILMENT
5640	A young boy is singing and playing a guitar	A kid is playing the piano	2.5	NEUTRAL
5641	A young boy is singing and playing a guitar	A kid is playing the guitar	4.4	ENTAILMENT
5642	Someone is stirring a pot of chili with a spoon	A pot of chili is being stirred by someone with a spoon	5	ENTAILMENT
5643	Nobody is stirring a pot of chili with a spoon	Someone is stirring a pot of chili with a spoon	3.7	CONTRADICTION
5645	Someone is not stirring chili in a kettle	Someone is stirring chili in a kettle	3.5	CONTRADICTION
5646	Someone is stirring a pot of chili with a spoon	Someone is stirring chili in a pot	4.5	ENTAILMENT
5647	Someone is stirring a pot of chili with a spoon	Someone is not stirring chili in a kettle	3.7	NEUTRAL
5651	A person is eating in a restaurant	A person is eating at a table	4	NEUTRAL
5653	A man is making a bed	A person is making a bed	4.7	ENTAILMENT
5656	A person is not making a bed	A person is eating at a table	1.7	NEUTRAL
5659	A person is making a bed	A person is eating at a table	1.4	NEUTRAL
5663	The cat is licking a bottle	The dog is licking a bottle	3.9	NEUTRAL
5664	A cat is playing with a small bottle	A bottle is being licked by the cat	3.5	NEUTRAL
5668	The cat is licking a bottle	A cat is playing with a small bottle	3.6	NEUTRAL
5671	A small dog is lying on the bed	A small animal is lying on the bed	4.5	ENTAILMENT
5676	A small dog is lying on the bed	A small cat is lying on a bed	2.9	NEUTRAL
5677	A small dog is lying on a bed	A small dog is lying on the bed	5	ENTAILMENT
5678	A woman is cutting butter	A woman is slicing butter	4.7	ENTAILMENT
5679	A woman is slicing butter	A man is slicing butter	3.465	NEUTRAL
5680	Tofu is being sliced by a woman	A woman is slicing tofu	5	ENTAILMENT
5683	A woman is slicing butter	There is no woman slicing tofu	2.8	NEUTRAL
5687	The man is playing the guitar	The man is playing the instrument	4.3	ENTAILMENT
5691	The person is playing with a skull	The man is playing the guitar	1.2	NEUTRAL
5693	The man is playing with a skull	The man is playing the instrument	2.2	NEUTRAL
5694	The man is not playing the guitar	The man is playing with a skull	1.4	NEUTRAL
5695	The man is playing the guitar	The man is playing with a skull	1.9	NEUTRAL
5696	Some cheese is being put on a pizza by a man	A man is putting some cheese on a pizza	5	ENTAILMENT
5697	There is no man putting some cheese on a pizza	A man is putting some cheese on a pizza	4	CONTRADICTION
5701	There is no man sprinkling cheese on the pizza	A man is putting some cheese on a pizza	3.8	CONTRADICTION
5710	A man is firing a shotgun	There is no man shooting a shotgun	3.7	CONTRADICTION
5712	A man is reloading a shotgun	A man is shooting a shotgun	4.1	NEUTRAL
5717	A man is dancing on the floor	A man is dancing on the ceiling	3.6	NEUTRAL
5718	A famous singer is dancing on the ceiling	A person is dancing on the ceiling	4.5	ENTAILMENT
5722	A famous singer is dancing on the ceiling	A man is dancing on the ceiling	4.1	NEUTRAL
5725	Hay is being eaten by a cow	A cow is eating hay	5	ENTAILMENT
5728	A cow is eating grass	A cow is not eating hay	3.65	ENTAILMENT
5732	A man is having lunch	A man is eating	4.5	ENTAILMENT
5733	A man is puking	A man is eating	2.3	NEUTRAL
5736	A man is eating	A woman is dancing gracefully	1	NEUTRAL
5737	A man is eating	A woman is sleeping	1.1	NEUTRAL
5739	A woman is dancing	A man is puking	1.2	NEUTRAL
5740	A man is eating	A woman is dancing	1.1	NEUTRAL
5741	A baby is playing with a doll	A baby is playing with a toy	4.7	ENTAILMENT
5742	A baby is not playing with a doll	A baby is playing with a doll	3.85	CONTRADICTION
5744	A baby tiger is playing with a ball	There is no baby tiger playing with a ball	3.5	CONTRADICTION
5749	A baby tiger is playing with a ball	A baby is playing with a doll	2.1	NEUTRAL
5750	The man is playing a game on a lawn	The man is playing a game on the grass	4.2	ENTAILMENT
5751	The man is playing a game on the grass	There is no man playing a game on the grass	3.6	CONTRADICTION
5752	The rhino is grazing on the grass	The animal is grazing on the grass	4.4	ENTAILMENT
5753	The rhino is grazing on the grass	There is no rhino grazing on the grass	2.8	CONTRADICTION
5755	The man is playing a game on the grass	There is no rhino grazing on the grass	1.7	NEUTRAL
5756	The man is playing a game on a lawn	The rhino is grazing on the grass	1	NEUTRAL
5758	The man is playing a game on the grass	The rhino is grazing on the grass	1.9	NEUTRAL
5761	A woman is talking to a man	A man is talking to a woman	4.5	ENTAILMENT
5762	A woman is cracking eggs	A woman is breaking eggs	4.8	ENTAILMENT
5764	A man is talking to a woman	A woman is breaking eggs	1.1	NEUTRAL
5765	A man is cracking eggs	A man is talking to a woman	1.8	NEUTRAL
5768	A woman is talking to a man	A woman is cracking eggs	1.6	NEUTRAL
5770	A bicycle is being ridden by a man	A man is riding a bicycle	4.8	ENTAILMENT
5772	A man is riding an electric bicycle	A person is riding an electric bicycle	4.5	ENTAILMENT
5773	A man is riding an electric bicycle	There is no man riding an electric bicycle	3.5	CONTRADICTION
5776	A man is riding an electric bicycle	A bicycle is being ridden by a man	4.6	ENTAILMENT
5777	A man is riding an electric bicycle	A man is not riding a bicycle	2.6	CONTRADICTION
5779	A cat is jumping into a container	A cat is jumping into a box	4.4	ENTAILMENT
5781	A boy is talking to a leaf	A young man is talking to a leaf	4.4	ENTAILMENT
5787	A cat is jumping into a box	A young man is talking to a leaf	1	NEUTRAL
5788	A fish is being cut by a man	A man is cutting a fish	4.9	ENTAILMENT
5791	A man is slicing a fish	A woman is slicing a fish	3.6	NEUTRAL
5792	A man is cutting a fish	A fish is being sliced by a man	4.8	ENTAILMENT
5794	A man is slicing a fish	A fish is being cut by a man	4.4	ENTAILMENT
5797	A person is frying some food	A person is cooking some food	4.3	ENTAILMENT
5801	A potato is being peeled by a person	A person is frying some food	2.3	NEUTRAL
5810	A man is rowing a boat	A man is shooting with a weapon	1.1	NEUTRAL
5811	A man is shooting with a bow	A man is rowing a boat	1.6	NEUTRAL
5812	A man is shooting with a gun	A man is rowing a canoe	1.8	NEUTRAL
5813	A man is shooting with a gun	A woman is rowing a boat	1	NEUTRAL
5815	A woman is cutting a tomato	A woman is slicing a tomato	4.8	ENTAILMENT
5816	A man is cutting a tomato	A woman is cutting a tomato	3.5	NEUTRAL
5819	A woman is cutting a tomato	A woman is dancing near a fireplace	1.4	NEUTRAL
5820	There is no woman dancing near a fire	A woman is cutting a tomato	1.3	NEUTRAL
5821	A woman is slicing a tomato	A woman is dancing near a fire	1.1	NEUTRAL
5822	A man is cutting a tomato	A woman is dancing near a fire	1.1	NEUTRAL
5823	A woman is cutting a tomato	A woman is dancing near a fire	1.5	NEUTRAL
5824	A guitar is being played by a girl	A girl is playing a guitar	4.8	ENTAILMENT
5825	A girl is playing a guitar	A boy is playing a guitar	4	NEUTRAL
5828	A guitar is being played by a man	A girl is playing a guitar	3.4	NEUTRAL
5829	A girl is playing a guitar	A man is not playing a guitar	3.1	NEUTRAL
5834	A man is diving off a cliff	There is no man diving off a cliff	4	CONTRADICTION
5835	A man is riding a motorcycle	A motorcycle is being ridden by a man	5	ENTAILMENT
5839	A man is riding a motorcycle	A man is diving off a rock	1.4	NEUTRAL
5841	A man is diving off a cliff	A man is riding a motorcycle	1.7	NEUTRAL
5842	The man is playing the guitar	The man is playing the instrument	4.4	ENTAILMENT
5845	There is no man playing the guitar	The man is playing the guitar	4.2	CONTRADICTION
5846	The man is playing the guitar	The person is playing the guitar	4.5	ENTAILMENT
5847	The man is playing the guitar	There is no man playing the guitar	3.1	CONTRADICTION
5848	The man is playing the guitar	The man is playing the instrument	4.4	ENTAILMENT
5851	A woman is boiling noodles in water	Noodles are being boiled in water by a woman	4.8	ENTAILMENT
5852	A woman is boiling noodles in water	A man is boiling noodles in water	4	NEUTRAL
5853	Someone is stirring noodles in the water	Someone is stirring food in the water	4.5	ENTAILMENT
5855	A woman is boiling noodles in water	Someone is stirring food in the water	3.6	ENTAILMENT
5857	Someone is stirring noodles in the water	Noodles are being boiled in water by a woman	4	NEUTRAL
5859	A woman is boiling noodles in water	Someone is stirring noodles in the water	4.2	NEUTRAL
5860	The women are singing and dancing	The persons are singing and dancing	4.5	ENTAILMENT
5861	The women are not singing and dancing	The women are singing and dancing	3.9	CONTRADICTION
5864	Two women are dancing and singing in front of many people	The women are singing and dancing	4.5	ENTAILMENT
5865	Two men are dancing and singing in front of a crowd	The women are singing and dancing	3.1	NEUTRAL
5867	The women are not singing and dancing	Two women are dancing and singing in front of a crowd	3.6	NEUTRAL
5874	A lemur is biting a person's finger	An animal is biting someone's finger	4.4	ENTAILMENT
5875	An animal is biting a person's finger	An animal is biting someone's finger	5	ENTAILMENT
5876	A lemur is licking a person's finger	An animal is biting someone's finger	3.3	NEUTRAL
5879	A man is skateboarding on a half pipe	A girl is skateboarding on a half pipe	3.835	NEUTRAL
5882	A skateboarder is doing acrobatics on a half pipe	A man is skateboarding on a half pipe	3.9	ENTAILMENT
5883	A man is skateboarding on a half pipe	A skateboarder is falling off a half pipe	3.6	NEUTRAL
5885	A girl is skateboarding on a half pipe	A skateboarder is doing tricks on a half pipe	4	NEUTRAL
5886	A skateboarder is doing tricks on a half pipe	A man is skateboarding on a half pipe	4.4	ENTAILMENT
5887	A big dog is running on the ground	A dog is running on the ground	4.2	ENTAILMENT
5890	A girl is tapping her fingernails	A boy is tapping his fingernails	3.685	NEUTRAL
5894	A dog is sitting on the ground	A girl is tapping her fingernails	1	NEUTRAL
5895	A dog is running on the ground	A girl is tapping her fingernails	1	NEUTRAL
5898	A man and a woman are driving down the street in a jeep	Two persons are driving down the street in a jeep	4.5	ENTAILMENT
5899	A man and a woman are driving down the street in a jeep	A man and a woman are not driving down the street in a jeep	4.4	CONTRADICTION
5900	A man and a woman are driving down the road in an open-air vehicle	Two persons are driving down the street in a jeep	4.1	NEUTRAL
5901	A man and a woman are not driving down the street in a jeep	A man and a woman are driving down the road in an open-air vehicle	4.4	NEUTRAL
5902	A man and a woman are driving down the street in a jeep	A man and a woman are driving down the road in a car	4.3	ENTAILMENT
5905	Ingredients are being poured into a bowl by a woman	A woman is pouring ingredients into a bowl	4.815	ENTAILMENT
5906	There is no woman pouring ingredients into a bowl	A woman is pouring ingredients into a bowl	4	CONTRADICTION
5907	The chef is seasoning the oil	The woman is seasoning the oil	4.1	NEUTRAL
5911	Ingredients are being poured into a bowl by a woman	The woman is seasoning the oil	3.3	NEUTRAL
5918	A person is riding a horse	Potatoes are being sliced by a woman	1	NEUTRAL
5919	A person is riding a horse	There is no woman slicing potatoes	1	NEUTRAL
5922	A woman is slicing potatoes	A person is riding a horse	1	NEUTRAL
5923	The man is training	The man is doing exercises	3.9	NEUTRAL
5928	Two men are hugging	The man is doing exercises	1.4	NEUTRAL
5931	Two men are fighting	The man is doing exercises	2	NEUTRAL
5936	A man is putting vegetables into a pot	Someone is adding ingredients to a pot	4.3	ENTAILMENT
5937	Nobody is pouring ingredients into a pot	A man is putting vegetables into a pot	3.6	CONTRADICTION
5941	The man is standing on a rocky mountain and gray clouds are in the background	The man is standing on a mountain, which is rocky, and gray clouds are in the background	4.7	ENTAILMENT
5943	A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background	A topless person with a back pack is in front of a pile of rocks and clouds are in the background	5	ENTAILMENT
5944	A topless person with a back pack is in front of a pile of rocks and clouds are in the background	A fully dressed person is behind a pile of rocks and a clear sky is in the background	2.7	NEUTRAL
5947	The man is standing on a rocky mountain and gray clouds are in the background	A fully dressed person is behind a pile of rocks and a clear sky is in the background	3	NEUTRAL
5948	The man is standing on a rocky mountain and gray clouds are in the background	A black topless person is packing a pile of rocks and a front of clouds are in the background	2.9	NEUTRAL
5952	The dog is catching a ball	A dog is catching a ball	5	ENTAILMENT
5956	A dog is catching a ball	A dog is furiously chasing a ball through dirt	4.1	NEUTRAL
5960	A dog is chasing a ball through dirt	A dog is catching a ball	3.4	ENTAILMENT
5964	A child, who has blond hair, is holding a yellow bottle	A blond child is holding a yellow bottle	4.9	ENTAILMENT
5965	A blond child is holding a yellow bottle	There is no blond child holding a yellow bottle	3.7	CONTRADICTION
5966	A child, who has blond hair, is holding a yellow bottle	A boy in a blue shirt has dirt on his face	1.5	NEUTRAL
5968	A boy in a blue dyed shirt has dirt on his face	A blond child is holding a yellow bottle	1.1	NEUTRAL
5970	A blond child is holding a yellow bottle	A boy has a blue face and dirt on the shirt	1.8	NEUTRAL
5975	The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	4.8	ENTAILMENT
5976	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket	3.6	CONTRADICTION
5977	The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket	A man in a hat is walking through a store	3.9	ENTAILMENT
5978	A man in a hat is walking through a store	The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket	2.5	NEUTRAL
5979	A man in a hat is pacing through a store	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	3.1	NEUTRAL
5982	A man in a hat is walking through a store	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	4.1	NEUTRAL
5983	A large white crane is flying near the water	A crane, which is large and white, is flying near the water	4.9	ENTAILMENT
5986	A white bird is swiftly taking off from the water	A white bird is landing swiftly in the water	3.6	NEUTRAL
5987	The land near a white bird is being watered swiftly	A white bird is landing swiftly in the water	2.9	NEUTRAL
5988	The white bird is landing swiftly in the water	A large white crane is flying near the water	3.5	NEUTRAL
5989	A large white crane is flying near the water	A white bird is swiftly taking off from the water	4.1	NEUTRAL
5990	The land near a white bird is being watered swiftly	A large white crane is flying near the water	2.2	NEUTRAL
5991	A white bird is landing swiftly in the water	A crane, which is large and white, is flying near the water	4.2	NEUTRAL
5992	A large white crane is flying far above the water	A white bird is landing swiftly in the water	2.9	NEUTRAL
5996	A dog with golden fur is in the water	A dog with a golden coat is in the water	4.9	ENTAILMENT
6000	A dog with golden fur is in the water	A brown dog is calmly standing in the water	3.915	NEUTRAL
6006	The girl is carrying a sign and a group of people is following her	The girl is carrying a sign and is being followed by a group of people	4.9	ENTAILMENT
6007	The girl is carrying a sign and a group of people is following her	The girl is not carrying a sign and no group of people is following her	3.7	CONTRADICTION
6014	One man in a big city is holding up a sign and begging for money	A man in a big city is holding a sign and begging for money	5	ENTAILMENT
6015	A man in a big city is holding a sign and begging for money	A man in a small city is doing charity work	2.8	NEUTRAL
6017	A homeless man is holding up a sign and is begging for money	A homeless man is holding up a sign and is pitifully begging for money	4.9	ENTAILMENT
6020	A man in a big city is holding a sign and begging for money	A homeless man is putting down a sign and refusing some charity	3	NEUTRAL
6022	A homeless man is holding up a sign and is begging for money	A man in a small city is doing charity work	2.4	NEUTRAL
6027	A dog is chasing the tail of an animal in the grass	The tail of an animal is being chasing by a dog in the grass	4.9	ENTAILMENT
6028	A dog is walking away from the tail of an animal in the grass	A dog is chasing the tail of an animal in the grass	3.1	NEUTRAL
6029	A small dog is chasing a large brown cow	The tail of an animal is being chasing by a dog in the grass	2.9	NEUTRAL
6030	A small dog is chasing a large brown cow	A dog is walking away from the tail of an animal in the grass	2.5	NEUTRAL
6032	There is no small dog chasing a large brown cow	A dog is chasing the tail of an animal in the grass	3.3	NEUTRAL
6035	The small child is wading through the water and is being guided by another person	The small child is not wading through the water and is not being guided by another person	4.5	CONTRADICTION
6037	A young child is splashing in the water	There is no young child splashing in the water	4	CONTRADICTION
6038	A young child is watering a plant with splashes	A young child is splashing in the water	3.5	NEUTRAL
6041	The small child is wading through the water and is being guided by another person	A young child is watering a plant with splashes	2	NEUTRAL
6044	The small child is wading through the water and is being guided by another person	A young child is splashing in the water	3.5	NEUTRAL
6045	A woman is looking curiously at a man	A man is being curiously looked at by a woman	4.4	ENTAILMENT
6050	A woman is looking curiously at a man	A man and a woman are outside and are wearing light colored shirts	1.6	NEUTRAL
6051	A man is being curiously looked at by a woman	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	2.7	NEUTRAL
6052	A woman is ignoring a man	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	1.9	NEUTRAL
6053	A woman is looking curiously at a man	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	2.4	NEUTRAL
6054	The little dog is grabbing the bedroom slipper with its mouth funnily	The little dog is grabbing the bedroom slipper with its mouth	4.8	ENTAILMENT
6056	A brown dog is looking closely at a brown and white dog	A brown dog is staring attentively at a brown and white dog	4.8	ENTAILMENT
6060	A brown dog is staring attentively at a brown and white dog	The little dog is grabbing the bedroom slipper with its mouth funnily	2.5	NEUTRAL
6061	A brown dog is staring attentively at a brown and white dog	The little dog is dropping the bedroom slipper from its mouth	2.4	NEUTRAL
6065	A person in a blue jacket is jumping off of a tall cement wall	A person in a blue colored jacket is jumping off of a tall cement wall	4.9	ENTAILMENT
6068	A person in a blue colored jacket is jumping off of a tall cement wall	The man is performing a large jump	3.4	NEUTRAL
6072	A person in a blue jacket is jumping off of a tall cement wall	The man is not performing a large jump	2.735	NEUTRAL
6075	A woman in jeans is sitting on the saddle of a horse	A woman in jeans is standing near a horse with a saddle	3.5	NEUTRAL
6077	A person wearing jeans is sitting on top of a horse saddle	There is no person wearing jeans sitting on top of a horse saddle	3.7	CONTRADICTION
6080	The woman in jeans is sitting on the saddle of a horse	A person wearing jeans is sitting on top of a horse saddle	4.3	ENTAILMENT
6082	A woman in jeans is sitting on the saddle of a horse	A person wearing jeans is sitting on top of a horse saddle	4.3	ENTAILMENT
6083	The brown dog and the red dog are frolicking on the beach	A brown dog and a red dog are frolicking on the beach	4.9	ENTAILMENT
6084	A brown dog and a red dog are sitting sadly on the beach	A brown dog and a red dog are frolicking on the beach	3.9	NEUTRAL
6085	The brown dogs are playfully fighting on the sandy beach	The brown dogs are playfully fighting on the sandy shore	4.8	ENTAILMENT
6086	The brown dogs are playfully fighting on the sandy beach	The brown dogs are not playfully fighting on the sandy beach	3.7	CONTRADICTION
6088	The brown dogs are not playfully fighting on the sandy beach	A brown dog and a red dog are frolicking on the beach	3.6	NEUTRAL
6092	The man is standing steadily next to a birdcage	The man is standing next to a bird cage	4.5	ENTAILMENT
6093	The man is sitting next to a birdcage	The man is standing next to a bird cage	4.5	NEUTRAL
6095	There is no man standing beside a large and colorful birdcage	A man is standing beside a large and colorful birdcage	4.6	CONTRADICTION
6096	A man is standing beside a birdcage which is large and colorful	The man is standing next to a bird cage	4.6	ENTAILMENT
6098	The man is standing steadily next to a birdcage	A man is standing beside a large and colorful birdcage	4.4	NEUTRAL
6099	A man is standing beside a large and colorful birdcage	The man is sitting next to a birdcage	3.2	NEUTRAL
6101	One brown and black dog is running through the leaves	A brown and black dog is running through the leaves	4.8	ENTAILMENT
6103	A brown and black dog is running through the leaves	A dog and a black man are running through brown leaves	3.4	NEUTRAL
6104	A dog in a colored coat is running swiftly across the yard	A dog in a colored coat is running across the yard	4.3	ENTAILMENT
6105	There is no dog in a colored coat running across the yard	A dog in a colored coat is running across the yard	3.7	CONTRADICTION
6106	A dog in a colored coat is running across the yard	A dog in the yard is running across colored coats	3.3	NEUTRAL
6108	A brown and black dog is running through the leaves	There is no dog in a colored coat running across the yard	3.1	NEUTRAL
6109	A dog in the yard is running across colored coats	A brown and black dog is running through the leaves	2.6	NEUTRAL
6112	A dog in a colored coat is running across the yard	A dog and a black man are running through brown leaves	3.3	NEUTRAL
6117	A black and white dog is holding a baseball in its mouth	A black and white dog is dropping a baseball from its mouth	4.1	NEUTRAL
6120	A dog, which has a brown and white coat, is holding a baseball in its mouth	A black and white dog is holding a baseball in its mouth	4.1	NEUTRAL
6122	A black and white dog is holding a baseball in its mouth	A brown and white dog is holding a baseball in its mouth	3.4	NEUTRAL
6123	A boy wearing red shorts is jumping into a paddling pool	A kid wearing red shorts is jumping into a paddling pool	4.6	ENTAILMENT
6127	A boy, who looks young and is wearing a red swimsuit, is jumping into a blue kiddies pool	A boy wearing red shorts is jumping into a paddling pool	4	NEUTRAL
6128	A boy wearing red shorts is jumping into a paddling pool	A young boy wearing a red swimsuit is jumping out of a blue kiddies pool	3.4	NEUTRAL
6133	A group of dogs are resting without muzzles	A group of dogs are racing and have muzzles on their noses	3.1	NEUTRAL
6135	A group of racing dogs is wearing striped uniforms and is running down a track	A group of dogs bred for racing is wearing striped uniforms and is running down a track	4.7	ENTAILMENT
6136	A group of racing dogs is wearing striped uniforms and is running down a track	There is no group of racing dogs wearing striped uniforms and running down a track	4	CONTRADICTION
6137	A group of dogs are racing and have muzzles on their noses	A group of dogs bred for racing is wearing striped uniforms and is running down a track	3.4	NEUTRAL
6144	Two people are walking near the water	Two people are wading through the water	3.5	NEUTRAL
6145	Two people are standing in the ocean and watching the sunset	Two people are standing in the ocean and looking at the sunset	5	ENTAILMENT
6147	Two people are standing in the ocean and looking at the sunset	Two people are wading through the water	3.3	ENTAILMENT
6150	Two people are walking near the water	Two people are standing in the ocean and watching the sunset	3.4	NEUTRAL
6152	A race car driver is standing up and is fiercely pointing his hand at the sky	A race car driver is standing up and pointing his hand at the sky	4.6	ENTAILMENT
6154	The person in the blue jacket is wearing a colorful helmet	A person in a blue jacket is wearing a colorful helmet	5	ENTAILMENT
6155	The person in the blue jacket is putting down a colorful helmet	The person in the blue jacket is wearing a colorful helmet	3.3	NEUTRAL
6157	A race car driver is standing up and pointing his hand at the sky	The person in the blue jacket is putting down a colorful helmet	1.7	NEUTRAL
6159	The person in the blue jacket is wearing a colorful helmet	A race car driver is sitting down and is motionless	1.3	NEUTRAL
6160	A race car driver is standing up and pointing his hand at the sky	The person in the blue jacket is wearing a colorful helmet	1.8	NEUTRAL
6161	A boy and a girl in swimsuits are wearing arm floats	A boy and a girl in swimsuits are wearing floats for their arms	4.9	ENTAILMENT
6164	The boy and the girl are playing and wearing arm floats	The boy and the girl are not playing and wearing arm floats	3.6	CONTRADICTION
6169	A boy and a girl in swimsuits are wearing arm floats	The boy and the girl are playing and wearing arm floats	4.4	NEUTRAL
6170	A woman in a yellow dyed shirt is surfing on a pink surfboard	A woman in a yellow shirt is surfing on a pink surfboard	4.6	ENTAILMENT
6171	A woman in a yellow shirt is surfing on a pink surfboard	There is no woman in a yellow shirt surfing on a pink surfboard	3.2	CONTRADICTION
6174	A surfer is falling off the wave	A surfer is riding the wave	3.8	CONTRADICTION
6175	A surfer is riding the wave	A rider is waving at a surfer	2.4	NEUTRAL
6176	The wave is being ridden by a surfer	A woman in a yellow shirt is surfing on a pink surfboard	3.6	NEUTRAL
6178	A rider is waving at a surfer	A woman in a yellow shirt is surfing on a pink surfboard	3	NEUTRAL
6179	A woman in a yellow dyed shirt is surfing on a pink surfboard	A surfer is riding the wave	3.5	ENTAILMENT
6180	A surfer is riding the wave	There is no woman in a yellow shirt surfing on a pink surfboard	2.2	NEUTRAL
6183	Four people are sitting on a low cement ledge	Some people are sitting on a low cement ledge	4.5	ENTAILMENT
6185	The group of people is sitting on a ledge which is rocky and a scenic view is behind them	The group of people is sitting on a rocky ledge and a scenic view is behind them	5	ENTAILMENT
6186	The group of people is sitting on a rocky ledge and a scenic view is behind them	The group of people is not sitting on a rocky ledge with a scenic view behind them	3.9	CONTRADICTION
6187	The group of people is sitting on a ledge which is rocky and a scenic view is behind them	Four people are sitting on a low cement ledge	3.3	NEUTRAL
6188	The group of people is not sitting on a rocky ledge with a scenic view behind them	Four people are sitting on a low cement ledge	2.7	NEUTRAL
6191	The group of people is sitting on a rocky ledge and a scenic view is behind them	Four people are sitting on a low cement ledge	3.2	NEUTRAL
6193	Two girls are laughing and other girls are watching them	There is no girl laughing and there is no other girl watching	3.2	CONTRADICTION
6194	A group of Asian girls are standing together	The group of Asian girls are standing together	4.9	ENTAILMENT
6195	A group of Asian girls are standing by themselves	A group of Asian girls are standing together	3.7	ENTAILMENT
6197	A group of Asian girls are standing by themselves	Two girls are laughing and other girls are watching them	2.1	NEUTRAL
6198	A group of Asian girls are standing together	Two girls are laughing breathlessly and other girls are watching them	2.4	NEUTRAL
6199	There is no girl laughing and there is no other girl watching	A group of Asian girls are standing together	1.8	NEUTRAL
6200	A group of Asian girls are standing together	Two girls are laughing and other girls are watching them	2.4	NEUTRAL
6202	A bicyclist is holding a bike over his head in a group of people	A lone bicyclist is putting down a bike	3.1	CONTRADICTION
6205	A cold cyclist is celebrating	There is no cold cyclist celebrating	4	CONTRADICTION
6206	Something is being celebrated by a cold cyclist	A bicyclist is holding a bike over his head in a group of people	3.2	NEUTRAL
6208	A cold cyclist is celebrating	A bike is being held over his head by a bicyclist in a group of people	2.3	NEUTRAL
6209	A lone bicyclist is putting down a bike	A cold cyclist is celebrating	3	NEUTRAL
6211	A cold cyclist is celebrating	A bicyclist is holding a bike over his head in a group of people	3.1	NEUTRAL
6212	A man is sitting peacefully on a boat in front of the sunset near a flag	A man is sitting on a boat in font of the sunset, near a flag	4.3	ENTAILMENT
6214	A man is on a ship in front of the sunset	A man is on a boat in front of the sunset	4.6	ENTAILMENT
6215	There is no man on a boat in front of the sunset	A man is on a boat in front of the sunset	3.2	CONTRADICTION
